optimizer,alpha_embedding,max_iter,inner_iter,stress_optimizer,full_geodesic_stress,cbdir,icvcoh,runtime_s,embedding_file,source_csv
smacof,0.05,5,,2519658003.5891104,3771814092.364177,0.4947442650922645,0.5462518804462423,17.016383113106713,smacof_a0p05_iter5.npz,small_alpha_smacof.csv
smacof,0.1,5,,2361396130.581949,3612968597.5956907,0.48521472126969933,0.5535482523654166,21.646739494986832,smacof_a0p1_iter5.npz,small_alpha_smacof.csv
smacof,0.2,5,,1927073289.0547802,3198822849.243194,0.47217275296572325,0.5744783302028272,30.159900386817753,smacof_a0p2_iter5.npz,small_alpha_smacof.csv
smacof,0.3,5,,1469587537.719818,2728120249.2588506,0.46504642376738664,0.587456685302483,17.027139354031533,smacof_a0p3_iter5.npz,quick_alpha_sweep_with_full_stress.csv
smacof,0.5,5,,831583239.5226725,2723196924.262276,0.4539160781874133,0.599122770532445,21.446390260010958,smacof_a0p5_iter5.npz,quick_alpha_sweep_with_full_stress.csv
smacof,0.6,5,,733023017.2693816,2661357614.518074,0.447493856136239,0.6029702250583807,22.88006038311869,smacof_a0p6_iter5.npz,quick_alpha_sweep_with_full_stress.csv
smacof,0.7,5,,830728220.09777,2901931645.5343094,0.439793023653557,0.6065462938158402,19.99039683700539,smacof_a0p7_iter5.npz,quick_alpha_sweep_with_full_stress.csv
smacof,0.8,5,,1207499745.49876,3572081328.290632,0.4302753216440081,0.609553260970561,16.270440002903342,smacof_a0p8_iter5.npz,quick_alpha_sweep_with_full_stress.csv
smacof,0.9,5,,2210916186.730168,4944931614.376581,0.4159115274514775,0.6098487199234284,13.020766723901033,smacof_a0p9_iter5.npz,quick_alpha_sweep_with_full_stress.csv
path_frozen,0.5,3,3,254379467.56272152,6495008476.616275,0.5808569791034671,0.5851617032979292,16.77095745294355,path_frozen_a0p5_iter3_inner3.npz,quick_alpha_sweep_with_full_stress.csv
path_frozen,0.7,3,3,262419331.43277627,6851519137.774426,0.5803605827816051,0.5852950712003256,16.918482539011165,path_frozen_a0p7_iter3_inner3.npz,quick_alpha_sweep_with_full_stress.csv
path_frozen,0.9,3,3,274604642.0385007,7364057822.941956,0.5799418318386994,0.5849039956863088,16.80992840998806,path_frozen_a0p9_iter3_inner3.npz,quick_alpha_sweep_with_full_stress.csv
path_frozen,0.3,3,3,250864038.4100943,6298527874.228558,0.5805326974272388,0.5850968240228686,16.75075114099309,path_frozen_a0p3_iter3_inner3.npz,path_alpha03_extra.csv
smacof_refined,0.3,30,,1208861549.5092492,1777055025.7042866,0.31761348941629625,0.5488568937315607,93.6398976908531,smacof_a0p3_iter30_refined.npz,refined_candidates.csv
smacof_refined,0.6,30,,825431143.4792286,3009026952.602004,0.39340217944771905,0.5781030328695579,108.97013570484705,smacof_a0p6_iter30_refined.npz,refined_candidates.csv
path_frozen_refined,0.5,15,10,24096054.466671146,3340581860.6988025,0.5601024391446715,0.46055143881334226,261.70160929788835,path_frozen_a0p5_iter15_inner10_refined.npz,refined_candidates.csv
