alpha_embedding,graph_neighbors,local_weight,max_iter,inner_iter,stress_optimizer,full_geodesic_stress,cbdir,icvcoh,runtime_s,embedding_file,status
0.5,20,0.0,5,8,36349141.935861655,5227842643.874165,0.5963487659900725,0.5191922188852311,38.49419156415388,pf_a0p5_gk20_lw0p0_iter5_inner8.npz,ok
0.5,20,0.1,5,8,46974562.36429258,5001931559.451569,0.5967900021833672,0.5260174925535572,36.86555337696336,pf_a0p5_gk20_lw0p1_iter5_inner8.npz,ok
0.5,20,1.0,5,8,59377719.72028436,4959415586.084445,0.5717569073472687,0.5162638311729543,39.127600039122626,pf_a0p5_gk20_lw1p0_iter5_inner8.npz,ok
0.5,20,3.0,5,8,76771411.23653862,5373075061.064743,0.5517744455128714,0.5086581541196079,37.548019737005234,pf_a0p5_gk20_lw3p0_iter5_inner8.npz,ok
0.5,35,0.0,5,8,32851871.80815729,4690331250.560068,0.5873840466852449,0.5167346315058065,37.64150231005624,pf_a0p5_gk35_lw0p0_iter5_inner8.npz,ok
0.5,35,0.1,5,8,43344208.52974414,4717025301.618488,0.5851069002182713,0.5275984084501886,39.15702722594142,pf_a0p5_gk35_lw0p1_iter5_inner8.npz,ok
0.5,35,1.0,5,8,54179214.915527925,4598317189.682232,0.5708009046495922,0.5134487411520261,38.20672266394831,pf_a0p5_gk35_lw1p0_iter5_inner8.npz,ok
0.5,35,3.0,5,8,66773318.85905759,3928053730.5582523,0.5640542575940253,0.49976162691799586,38.94751155003905,pf_a0p5_gk35_lw3p0_iter5_inner8.npz,ok
0.5,50,0.0,5,8,33024728.381722193,4541663366.360655,0.5905555642186076,0.5300564762290487,41.14203055086546,pf_a0p5_gk50_lw0p0_iter5_inner8.npz,ok
0.5,50,0.1,5,8,35850706.795405254,4561963453.90183,0.5875287949060409,0.5309438729745891,40.49667205801234,pf_a0p5_gk50_lw0p1_iter5_inner8.npz,ok
0.5,50,1.0,5,8,43293009.52114566,4158508000.931189,0.5585549520552443,0.510916322626994,40.590972390025854,pf_a0p5_gk50_lw1p0_iter5_inner8.npz,ok
0.5,50,3.0,5,8,83526979.53033678,4288622184.0570035,0.5483211485737202,0.5197583000203844,39.43847412802279,pf_a0p5_gk50_lw3p0_iter5_inner8.npz,ok
