cbdir,data_cache,embedding,family,gamma,icvcoh,mean_abs_data_asymmetry,mean_abs_embedding_asymmetry,metric,metric_alpha,n_neighbors,n_pairs,n_strong_pairs,neighbor_space,normalized_mse,optimizer_stress,pearson,short_name,sign_accuracy,spearman,tau,velocity_alpha,velocity_distance_formula,weighted_sign_accuracy
0.356878687735,pancreas_velocity_inputs_dynamical_s42.npz,pancreas_path_frozen_cmatsumoto_alpha0p5_seed421.npz,path_frozen,0.441216283804,0.521878803099,0.248769476603,0.227205237233,convexified_matsumoto,0.5,30,74671,70813,expression_pca,0.919014332417,13194651.0781,0.492862618007,path-frozen_cMats_alpha0p5_seed421,0.689153121602,0.492084052715,0.02,2,exponential,0.754429537558
0.38896401304,pancreas_velocity_inputs_dynamical_s42.npz,pancreas_path_frozen_cmatsumoto_alpha0p9_seed42.npz,path_frozen,0.563838335241,0.510457518568,0.248769476603,0.340347125976,convexified_matsumoto,0.9,30,74671,70813,expression_pca,1.69777000593,33870608.9403,0.417400946546,path-frozen_cMats_alpha0p9_seed42,0.652366090972,0.41433866787,0.02,2,exponential,0.710911395516
0.165347013282,pancreas_velocity_inputs_dynamical_vexp_valpha3_s42.npz,pancreas_path_frozen_vexp_cmats0p8_seed42.npz,path_frozen,0.397206289042,0.452938797274,0.342523587732,0.30051421261,convexified_matsumoto,0.8,30,74671,72079,expression_pca,1.01674139894,44808709.9502,0.441033393629,path-frozen_vexp_cmats0p8_seed42,0.668682972849,0.442133599513,0.02,3,exponential,0.724807589153
0.329388788066,pancreas_velocity_inputs_dynamical_vrand_valpha0p8_s42.npz,pancreas_path_frozen_vrand_cmats0p5_seed42.npz,path_frozen,0.666310571158,0.540929741666,0.115107672076,0.249190925198,convexified_matsumoto,0.5,30,74671,65092,expression_pca,4.0359847573,35476401.1541,0.318803378753,path-frozen_vrand_cmats0p5_seed42,0.620721440423,0.3205403299,0.02,0.8,randers,0.656719428157
0.35842132328,pancreas_velocity_inputs_dynamical_vrand_valpha0p8_s42.npz,pancreas_path_frozen_vrand_cmats0p8_seed42.npz,path_frozen,0.871901778985,0.535969319148,0.115107672076,0.313817351842,convexified_matsumoto,0.8,30,74671,65092,expression_pca,6.62278336123,35758289.7096,0.321246060088,path-frozen_vrand_cmats0p8_seed42,0.620782891907,0.318623634802,0.02,0.8,randers,0.658372581931
0.459048329131,pancreas_velocity_inputs_dynamical_valpha0p5_s42.npz,pancreas_randers_smacof_valpha0p5_alpha0p6_iter100_seed42.npz,randers_smacof,2.09340243444,0.626310275904,0.0762850262823,0.211872089903,randers,0.6,30,74671,59434,expression_pca,5.55539206564,3700697927.47,0.708028440348,Randers-SMACOF_valpha0p5_alpha0p6_iter100_seed42,0.842783591883,0.732266514757,0.02,0.5,exponential,0.884121842276
0.209915866047,pancreas_velocity_inputs_dynamical_valpha1p5_s42.npz,pancreas_randers_smacof_valpha1p5_alpha0p45_iter100_seed42.npz,randers_smacof,0.797381498053,0.58613645553,0.194888249699,0.220822024842,randers,0.45,30,74671,69503,expression_pca,0.587542271429,1869141069.38,0.733357447426,Randers-SMACOF_valpha1p5_alpha0p45_iter100_seed42,0.817115807951,0.745458535971,0.02,1.5,exponential,0.884065214625
0.127400738309,pancreas_velocity_inputs_dynamical_valpha5p0_s42.npz,pancreas_randers_smacof_valpha5p0_alpha0p6_iter500_seed42.npz,randers_smacof,0.477273898676,0.487308956265,0.472539719564,0.279501615149,randers,0.6,30,74671,73050,expression_pca,0.427640341965,2127083633.34,0.772021041946,Randers-SMACOF_valpha5p0_alpha0p6_iter500_seed42,0.841697467488,0.779972612458,0.02,5,exponential,0.909011743483
0.26882376867,pancreas_velocity_inputs_dynamical_vexp_valpha3_s42.npz,pancreas_randers_smacof_vexp_r0p8_iter500_seed42.npz,randers_smacof,0.936930461361,0.593861198157,0.342523587732,0.419509038901,randers,0.8,30,74671,72079,expression_pca,0.564924888804,13741050724.3,0.78111799583,Randers-SMACOF_vexp_r0p8_iter500_seed42,0.839814647817,0.788441096372,0.02,3,exponential,0.912695569862
0.407797885467,pancreas_velocity_inputs_dynamical_vrand_valpha0p8_s42.npz,pancreas_randers_smacof_vrand_r0p8_iter100_seed42.npz,randers_smacof,1.96833067081,0.602658485405,0.115107672076,0.321819663172,randers,0.8,30,74671,65092,expression_pca,4.9131487582,4918561609.34,0.702542273526,Randers-SMACOF_vrand_r0p8_iter100_seed42,0.822712468506,0.724016629943,0.02,0.8,randers,0.87695518488
