short_name,family,cbdir,icvcoh,geometry_cbdir,geometry_icvcoh,sign_accuracy,spearman,gamma,mean_abs_data_asymmetry,mean_abs_embedding_asymmetry,optimizer_stress,full_geodesic_stress
UMAP 3D,umap,0.565294389515,0.724763737402,,,,,,,,,
UMAP 2D,umap,0.575537560662,0.690791167445,,,,,,,,,
umap_min_shared_counts_20_n_top_genes_2000_n_pcs_30_n_neighbors_30_velocity_mode_stochastic_velocity_alpha_1p0_velocity_neighbors_30_seed_42,umap,0.566435461347,0.679228794868,,,,,,,,,
umap_stochastic_s42,umap,0.575537560662,0.690791167445,,,,,,,,,
Randers-SMACOF_valpha0p5_alpha0p6_iter100_seed42,randers_smacof,0.459048329131,0.626310275904,,,0.842783591883,0.732266514757,2.09340243444,0.0762850262823,0.211872089903,511205350.224,3700697927.47
Randers-SMACOF_valpha1p5_alpha0p45_iter100_seed42,randers_smacof,0.209915866047,0.58613645553,,,0.817115807951,0.745458535971,0.797381498053,0.194888249699,0.220822024842,693222918.683,1869141069.38
Randers-SMACOF_valpha5p0_alpha0p6_iter500_seed42,randers_smacof,0.127400738309,0.487308956265,,,0.841697467488,0.779972612458,0.477273898676,0.472539719564,0.279501615149,1351643366.06,2127083633.34
Randers-SMACOF_vexp_r0p8_iter500_seed42,randers_smacof,0.26882376867,0.593861198157,,,0.839814647817,0.788441096372,0.936930461361,0.342523587732,0.419509038901,3598668116.27,13741050724.3
Randers-SMACOF_vrand_r0p8_iter100_seed42,randers_smacof,0.407797885467,0.602658485405,,,0.822712468506,0.724016629943,1.96833067081,0.115107672076,0.321819663172,808910895.102,4918561609.34
Randers-SMACOF_vrand_r0p8_iter400_seed42,randers_smacof,0.363395582511,0.601497052885,,,0.823818595219,0.730913383724,1.9941928281,0.115107672076,0.322172238116,820330327.838,4950537346.28
path-frozen_cMats_alpha0p5_seed421,path_frozen,0.356878687735,0.521878803099,0.256105526861,0.736228864664,0.689153121602,0.492084052715,0.441216283804,0.248769476603,0.227205237233,13194651.0781,1454010738.4537835
path-frozen_cMats_alpha0p9_seed42,path_frozen,0.38896401304,0.510457518568,0.145230390074,0.682427916408,0.652366090972,0.41433866787,0.563838335241,0.248769476603,0.340347125976,33870608.9403,2369270110.603824
path-frozen_vexp_cmats0p8_seed42,path_frozen,0.165347013282,0.452938797274,0.159159081903,0.713220722643,0.668682972849,0.442133599513,0.397206289042,0.342523587732,0.30051421261,44808709.9502,2435686810.887082
path-frozen_vrand_cmats0p5_seed42,path_frozen,0.329388788066,0.540929741666,0.186157507091,0.670655087477,0.620721440423,0.3205403299,0.666310571158,0.115107672076,0.249190925198,35476401.1541,750713362.3429368
path-frozen_vrand_cmats0p8_seed42,path_frozen,0.35842132328,0.535969319148,0.129225470635,0.661690422497,0.620782891907,0.318623634802,0.871901778985,0.115107672076,0.313817351842,35758289.7096,1184597915.109751
soft-BF_cMats_alpha0p25_seed42,soft_bf,0.321260141127,0.501637931512,0.27936294916,0.639518523077,0.642932794826,0.378969329329,0.189095798356,0.248769476603,0.128584731802,3354607.61235,1691570644.12808
soft-BF_cMats_alpha0p5_seed42,soft_bf,0.256356798044,0.487929521169,0.266419105244,0.779683257443,0.68686540607,0.486586182658,0.445841495437,0.248769476603,0.231335785974,609982.928028,1565166441.789985
soft-BF_vexp_cmats0p8_seed42,soft_bf,0.249947212617,0.497830218255,0.154186467225,0.757394828051,0.73862012514,0.605104643696,0.582707785913,0.342523587732,0.328146022705,21309141.6833,1655124447.131315
