embedding,short_name,family,embedding_dim,cbdir,icvcoh,optimizer_stress,full_geodesic_stress,metadata_velocity_alpha,metadata_velocity_distance_formula,metadata_geodesic_metric_alpha,metadata_randers_alpha_embedding,geometry_cbdir,geometry_icvcoh,mean_geometry_confidence,median_geometry_confidence,sign_accuracy,spearman,pearson,gamma,mean_abs_data_asymmetry,mean_abs_embedding_asymmetry,velocity_alpha,velocity_distance_formula,metric,metric_alpha
pancreas_umap_3d_dynamical_s42.npy,UMAP 3D,umap,3,0.565294389515,0.724763737402,,,,,,,,,,,,,,,,,,,,
pancreas_umap_dynamical_s42.npy,UMAP 2D,umap,2,0.575537560662,0.690791167445,,,,,,,,,,,,,,,,,,,,
pancreas_umap_min_shared_counts_20_n_top_genes_2000_n_pcs_30_n_neighbors_30_velocity_mode_stochastic_velocity_alpha_1p0_velocity_neighbors_30_seed_42.npy,umap_min_shared_counts_20_n_top_genes_2000_n_pcs_30_n_neighbors_30_velocity_mode_stochastic_velocity_alpha_1p0_velocity_neighbors_30_seed_42,umap,2,0.566435461347,0.679228794868,,,,,,,,,,,,,,,,,,,,
pancreas_umap_stochastic_s42.npy,umap_stochastic_s42,umap,2,0.575537560662,0.690791167445,,,,,,,,,,,,,,,,,,,,
pancreas_randers_smacof_valpha0p5_alpha0p6_iter100_seed42.npz,Randers-SMACOF_valpha0p5_alpha0p6_iter100_seed42,randers_smacof,3,0.459048329131,0.626310275904,511205350.224,3700697927.47,0.5,,,0.6,,,,,0.842783591883,0.732266514757,0.708028440348,2.09340243444,0.0762850262823,0.211872089903,0.5,exponential,randers,0.6
pancreas_randers_smacof_valpha1p5_alpha0p45_iter100_seed42.npz,Randers-SMACOF_valpha1p5_alpha0p45_iter100_seed42,randers_smacof,3,0.209915866047,0.58613645553,693222918.683,1869141069.38,1.5,,,0.45,,,,,0.817115807951,0.745458535971,0.733357447426,0.797381498053,0.194888249699,0.220822024842,1.5,exponential,randers,0.45
pancreas_randers_smacof_valpha5p0_alpha0p6_iter500_seed42.npz,Randers-SMACOF_valpha5p0_alpha0p6_iter500_seed42,randers_smacof,3,0.127400738309,0.487308956265,1351643366.06,2127083633.34,5.0,,,0.6,,,,,0.841697467488,0.779972612458,0.772021041946,0.477273898676,0.472539719564,0.279501615149,5.0,exponential,randers,0.6
pancreas_randers_smacof_vexp_r0p8_iter500_seed42.npz,Randers-SMACOF_vexp_r0p8_iter500_seed42,randers_smacof,3,0.26882376867,0.593861198157,3598668116.27,13741050724.3,3.0,exponential,,0.8,,,,,0.839814647817,0.788441096372,0.78111799583,0.936930461361,0.342523587732,0.419509038901,3.0,exponential,randers,0.8
pancreas_randers_smacof_vrand_r0p8_iter100_seed42.npz,Randers-SMACOF_vrand_r0p8_iter100_seed42,randers_smacof,3,0.407797885467,0.602658485405,808910895.102,4918561609.34,0.8,randers,,0.8,,,,,0.822712468506,0.724016629943,0.702542273526,1.96833067081,0.115107672076,0.321819663172,0.8,randers,randers,0.8
pancreas_randers_smacof_vrand_r0p8_iter400_seed42.npz,Randers-SMACOF_vrand_r0p8_iter400_seed42,randers_smacof,3,0.363395582511,0.601497052885,820330327.838,4950537346.28,0.8,randers,,0.8,,,,,0.823818595219,0.730913383724,0.709187659249,1.9941928281,0.115107672076,0.322172238116,0.8,randers,randers,0.8
