run,embedding,graph_setting,n_cells,n_assigned_cells,n_graph_nodes,n_graph_edges,n_nodes_with_cells,weighted_entropy_bits,weighted_normalized_entropy,weighted_effective_n_clusters,weighted_purity,weighted_top2_coverage,weighted_top3_coverage,weighted_n_clusters,frac_cells_nodes_nclusters_le2,frac_cells_nodes_nclusters_le3,frac_nodes_nclusters_le2,frac_nodes_nclusters_le3,n_empty_nodes
monocle_umap__ncenter120_nnk28_minbranch3,monocle_umap,ncenter120_nnk28_minbranch3,2669,2669,95,94,95,1.127324503281221,0.670370051707913,2.2884336844110242,0.6736605470213562,0.9022105657549645,0.9741476208317723,3.3503184713375798,0.21618583739228175,0.6009741476208318,0.24210526315789474,0.6105263157894737,0
monocle_umap__ncenter85_nnk35_minbranch5,monocle_umap,ncenter85_nnk35_minbranch5,2669,2669,53,52,53,1.2786494075187553,0.6688625587147342,2.5303802130288324,0.6238291494941925,0.8748594979393031,0.9584113900337204,4.044960659423005,0.10266017234919446,0.3563132259273136,0.1320754716981132,0.41509433962264153,0
classic_mds_alpha0__ncenter120_nnk28_minbranch3,classic_mds_alpha0,ncenter120_nnk28_minbranch3,2669,2669,101,101,101,1.3053495786333114,0.7036658997677177,2.6128665528935593,0.6272011989509179,0.8643686774072685,0.9449231922068192,3.819408017984264,0.20419632821281378,0.4147620831772199,0.26732673267326734,0.49504950495049505,0
monocle_umap__ncenter70_nnk35_minbranch5,monocle_umap,ncenter70_nnk35_minbranch5,2669,2669,40,39,40,1.3515222610785198,0.6638908789527151,2.6365996431796255,0.6230798051704758,0.8598726114649682,0.9542899962532783,4.351067815661296,0.03934057699512926,0.22367928062944922,0.05,0.25,0
monocle_umap__monocle_default,monocle_umap,monocle_default,2669,2669,45,44,45,1.4098594877799446,0.7088336466215803,2.7573690315738624,0.5766204571000374,0.8538778568752342,0.9524166354439866,4.186961408767329,0.09554140127388536,0.25814911952041963,0.1111111111111111,0.35555555555555557,0
best_deep_refined__ncenter120_nnk28_minbranch3,best_deep_refined,ncenter120_nnk28_minbranch3,2669,2669,84,85,84,1.4310878368578703,0.7247256984187845,2.8772029109952655,0.5934807043836644,0.836642937429749,0.9261895841139004,4.107156238291495,0.16298239040839266,0.3315848632446609,0.20238095238095238,0.39285714285714285,0
classic_mds_alpha0__ncenter70_nnk35_minbranch5,classic_mds_alpha0,ncenter70_nnk35_minbranch5,2669,2669,48,48,48,1.491412811831246,0.7007884519350269,2.9426721593399208,0.5784938179093293,0.8265267890595729,0.926938928437617,4.58074185088048,0.056575496440614464,0.1910828025477707,0.08333333333333333,0.25,0
best_deep_refined__ncenter70_nnk35_minbranch5,best_deep_refined,ncenter70_nnk35_minbranch5,2669,2669,49,49,49,1.4989376515191806,0.696713395231073,2.9807331689222534,0.5837392281753466,0.8272761333832895,0.9213188460097415,4.67291120269764,0.10753091045335332,0.20044960659423006,0.14285714285714285,0.24489795918367346,0
best_deep_refined__ncenter85_nnk35_minbranch5,best_deep_refined,ncenter85_nnk35_minbranch5,2669,2669,51,52,51,1.5505781519913486,0.7262415970624039,3.0394163189113907,0.5578868490071188,0.8205320344698389,0.9179467965530161,4.688272761333833,0.049456725365305355,0.23791682278006743,0.0784313725490196,0.29411764705882354,0
classic_mds_alpha0__ncenter85_nnk35_minbranch5,classic_mds_alpha0,ncenter85_nnk35_minbranch5,2669,2669,45,44,45,1.5586191155344424,0.6830197623540968,3.1059305158075508,0.575121768452604,0.8160359685275383,0.9149494192581492,5.042712626451855,0.05058074185088048,0.10715623829149494,0.08888888888888889,0.17777777777777778,0
classic_mds_alpha0__monocle_default,classic_mds_alpha0,monocle_default,2669,2669,19,18,19,1.888377603857287,0.7113750513829217,3.9156036863310546,0.47508430123641815,0.7594604720869238,0.8692394155114276,6.6953915324091415,0.0502060696890221,0.0502060696890221,0.05263157894736842,0.05263157894736842,0
best_deep_refined__monocle_default,best_deep_refined,monocle_default,2669,2669,16,15,16,1.989381220611183,0.7579656597754022,4.076754509598297,0.4166354439865118,0.6849007118771075,0.8328962158111654,6.372049456725366,0.014612214312476583,0.014612214312476583,0.0625,0.0625,0
