"from","to","weight"
"Y_45","Y_50",1
"Y_45","Y_46",1
"Y_42","Y_51",1
"Y_36","Y_50",1
"Y_35","Y_49",1
"Y_32","Y_34",1
"Y_30","Y_47",1
"Y_28","Y_40",1
"Y_27","Y_37",1
"Y_27","Y_29",1
"Y_26","Y_44",1
"Y_26","Y_34",1
"Y_25","Y_38",1
"Y_23","Y_44",1
"Y_23","Y_43",1
"Y_22","Y_43",1
"Y_21","Y_38",1
"Y_21","Y_22",1
"Y_20","Y_31",1
"Y_20","Y_24",1
"Y_19","Y_32",1
"Y_18","Y_31",1
"Y_17","Y_48",1
"Y_17","Y_35",1
"Y_16","Y_24",1
"Y_15","Y_41",1
"Y_15","Y_39",1
"Y_14","Y_40",1
"Y_14","Y_19",1
"Y_13","Y_51",1
"Y_13","Y_49",1
"Y_12","Y_37",1
"Y_12","Y_20",1
"Y_11","Y_41",1
"Y_11","Y_18",1
"Y_10","Y_24",1
"Y_10","Y_11",1
"Y_9","Y_46",1
"Y_9","Y_41",1
"Y_8","Y_33",1
"Y_8","Y_16",1
"Y_7","Y_39",1
"Y_6","Y_52",1
"Y_5","Y_42",1
"Y_5","Y_33",1
"Y_5","Y_6",1
"Y_4","Y_15",1
"Y_3","Y_52",1
"Y_3","Y_36",1
"Y_2","Y_47",1
"Y_2","Y_25",1
"Y_1","Y_29",1
"Y_1","Y_28",1
