cell_id,paul15_clusters
W31105,7MEP
W31106,15Mo
W31107,3Ery
W31108,15Mo
W31109,3Ery
W31110,15Mo
W31111,4Ery
W31113,2Ery
W31114,3Ery
W31115,2Ery
W31116,2Ery
W31117,17Neu
W31118,14Mo
W31119,13Baso
W31120,3Ery
W31121,7MEP
W31122,3Ery
W31123,3Ery
W31124,2Ery
W31125,8Mk
W31126,3Ery
W31127,9GMP
W31128,8Mk
W31129,10GMP
W31130,15Mo
W31131,16Neu
W31132,4Ery
W31133,13Baso
W31134,17Neu
W31136,3Ery
W31137,2Ery
W31138,3Ery
W31139,5Ery
W31140,3Ery
W31141,13Baso
W31142,1Ery
W31143,3Ery
W31144,6Ery
W31145,15Mo
W31146,3Ery
W31147,3Ery
W31148,14Mo
W31150,12Baso
W31151,3Ery
W31152,14Mo
W31153,6Ery
W31154,4Ery
W31155,7MEP
W31156,2Ery
W31157,13Baso
W31158,14Mo
W31159,6Ery
W31160,18Eos
W31161,4Ery
W31162,3Ery
W31163,3Ery
W31164,14Mo
W31165,2Ery
W31166,13Baso
W31167,2Ery
W31168,13Baso
W31169,13Baso
W31170,14Mo
W31171,7MEP
W31172,7MEP
W31173,7MEP
W31174,10GMP
W31175,12Baso
W31176,6Ery
W31177,5Ery
W31178,5Ery
W31179,14Mo
W31180,4Ery
W31181,16Neu
W31182,16Neu
W31183,3Ery
W31184,2Ery
W31185,6Ery
W31186,13Baso
W31187,13Baso
W31188,10GMP
W31189,14Mo
W31190,5Ery
W31191,7MEP
W31192,7MEP
W31193,5Ery
W31194,6Ery
W31195,2Ery
W31196,10GMP
W31197,10GMP
W31198,2Ery
W31199,7MEP
W31200,6Ery
W31201,7MEP
W31202,14Mo
W31203,16Neu
W31204,10GMP
W31205,3Ery
W31206,3Ery
W31207,13Baso
W31209,1Ery
W31210,14Mo
W31211,15Mo
W31212,2Ery
W31213,5Ery
W31214,2Ery
W31215,5Ery
W31217,3Ery
W31218,14Mo
W31219,10GMP
W31220,2Ery
W31221,7MEP
W31222,4Ery
W31223,9GMP
W31224,7MEP
W31225,3Ery
W31226,16Neu
W31227,11DC
W31228,10GMP
W31229,6Ery
W31230,3Ery
W31231,2Ery
W31232,5Ery
W31233,2Ery
W31234,2Ery
W31236,5Ery
W31237,14Mo
W31238,5Ery
W31239,14Mo
W31240,3Ery
W31241,2Ery
W31242,16Neu
W31243,2Ery
W31244,13Baso
W31245,16Neu
W31246,2Ery
W31247,3Ery
W31248,3Ery
W31249,14Mo
W31250,5Ery
W31251,16Neu
W31252,14Mo
W31253,14Mo
W31254,13Baso
W31255,3Ery
W31256,14Mo
W31257,7MEP
W31259,14Mo
W31260,10GMP
W31262,2Ery
W31263,14Mo
W31264,15Mo
W31265,14Mo
W31266,16Neu
W31267,10GMP
W31268,7MEP
W31269,5Ery
W31270,16Neu
W31271,2Ery
W31272,16Neu
W31273,14Mo
W31274,10GMP
W31275,16Neu
W31276,8Mk
W31277,7MEP
W31278,14Mo
W31279,7MEP
W31280,2Ery
W31281,14Mo
W31282,14Mo
W31283,4Ery
W31284,5Ery
W31285,14Mo
W31286,14Mo
W31287,10GMP
W31288,6Ery
W31289,5Ery
W31290,14Mo
W31291,3Ery
W31292,5Ery
W31293,15Mo
W31294,5Ery
W31295,14Mo
W31296,16Neu
W31297,8Mk
W31298,3Ery
W31299,14Mo
W31300,12Baso
W31301,14Mo
W31302,3Ery
W31303,5Ery
W31305,16Neu
W31306,15Mo
W31307,13Baso
W31309,5Ery
W31310,3Ery
W31311,13Baso
W31312,12Baso
W31313,8Mk
W31314,7MEP
W31315,6Ery
W31316,2Ery
W31317,3Ery
W31318,3Ery
W31319,15Mo
W31321,3Ery
W31322,3Ery
W31323,3Ery
W31324,8Mk
W31325,2Ery
W31326,2Ery
W31327,14Mo
W31328,3Ery
W31329,15Mo
W31330,14Mo
W31331,7MEP
W31332,15Mo
W31333,3Ery
W31334,3Ery
W31335,13Baso
W31336,15Mo
W31337,3Ery
W31338,15Mo
W31339,13Baso
W31340,3Ery
W31341,15Mo
W31342,15Mo
W31343,13Baso
W31345,4Ery
W31346,3Ery
W31347,14Mo
W31348,4Ery
W31349,6Ery
W31350,16Neu
W31351,14Mo
W31353,3Ery
W31354,17Neu
W31355,15Mo
W31356,4Ery
W31357,3Ery
W31358,6Ery
W31359,14Mo
W31360,3Ery
W31361,16Neu
W31362,14Mo
W31363,15Mo
W31364,7MEP
W31365,13Baso
W31366,15Mo
W31367,14Mo
W31368,3Ery
W31369,2Ery
W31370,2Ery
W31371,14Mo
W31372,2Ery
W31373,13Baso
W31374,2Ery
W31375,3Ery
W31376,13Baso
W31377,12Baso
W31378,2Ery
W31379,10GMP
W31380,5Ery
W31381,13Baso
W31382,3Ery
W31383,9GMP
W31386,15Mo
W31387,2Ery
W31388,10GMP
W31389,5Ery
W31390,5Ery
W31391,2Ery
W31392,14Mo
W31393,13Baso
W31394,2Ery
W31395,14Mo
W31396,16Neu
W31397,12Baso
W31398,14Mo
W31399,14Mo
W31401,3Ery
W31402,14Mo
W31403,13Baso
W31405,12Baso
W31406,5Ery
W31407,10GMP
W31409,14Mo
W31410,4Ery
W31411,15Mo
W31412,11DC
W31413,3Ery
W31414,4Ery
W31415,4Ery
W31416,4Ery
W31418,4Ery
W31419,5Ery
W31420,1Ery
W31421,16Neu
W31422,14Mo
W31423,2Ery
W31424,5Ery
W31425,15Mo
W31426,5Ery
W31427,2Ery
W31428,5Ery
W31429,1Ery
W31430,7MEP
W31431,2Ery
W31432,14Mo
W31433,10GMP
W31434,2Ery
W31436,14Mo
W31437,6Ery
W31439,9GMP
W31440,3Ery
W31441,2Ery
W31442,3Ery
W31443,12Baso
W31444,2Ery
W31445,18Eos
W31446,5Ery
W31447,3Ery
W31448,15Mo
W31451,14Mo
W31452,2Ery
W31453,6Ery
W31454,14Mo
W31455,2Ery
W31456,5Ery
W31457,12Baso
W31458,7MEP
W31459,17Neu
W31460,14Mo
W31461,2Ery
W31462,5Ery
W31463,2Ery
W31464,14Mo
W31465,13Baso
W31466,15Mo
W31467,2Ery
W31468,13Baso
W31469,16Neu
W31470,5Ery
W31471,14Mo
W31472,16Neu
W31473,14Mo
W31474,16Neu
W31475,14Mo
W31476,8Mk
W31477,10GMP
W31478,14Mo
W31479,5Ery
W31480,7MEP
W31481,2Ery
W31483,14Mo
W31484,13Baso
W31485,2Ery
W31486,5Ery
W31487,14Mo
W31489,14Mo
W31491,9GMP
W31492,4Ery
W31493,10GMP
W31494,13Baso
W31495,10GMP
W31497,7MEP
W31498,10GMP
W31499,3Ery
W31500,2Ery
W31501,14Mo
W31502,10GMP
W31503,15Mo
W31504,13Baso
W31505,7MEP
W31506,6Ery
W31507,7MEP
W31508,5Ery
W31509,14Mo
W31510,13Baso
W31511,10GMP
W31512,7MEP
W31513,3Ery
W31514,7MEP
W31515,13Baso
W31516,1Ery
W31517,14Mo
W31518,13Baso
W31519,10GMP
W31520,9GMP
W31521,3Ery
W31522,13Baso
W31523,2Ery
W31524,13Baso
W31525,2Ery
W31526,6Ery
W31527,6Ery
W31528,13Baso
W31529,3Ery
W31530,13Baso
W31531,11DC
W31532,14Mo
W31533,10GMP
W31534,8Mk
W31535,9GMP
W31536,2Ery
W31537,13Baso
W31538,14Mo
W31539,13Baso
W31540,14Mo
W31541,5Ery
W31542,14Mo
W31543,5Ery
W31544,13Baso
W31545,12Baso
W31546,16Neu
W31547,11DC
W31548,13Baso
W31549,13Baso
W31550,2Ery
W31551,2Ery
W31552,14Mo
W31553,7MEP
W31554,4Ery
W31555,6Ery
W31556,13Baso
W31558,14Mo
W31559,14Mo
W31560,6Ery
W31562,12Baso
W31563,6Ery
W31564,14Mo
W31565,2Ery
W31566,13Baso
W31567,13Baso
W31568,14Mo
W31569,7MEP
W31570,7MEP
W31571,15Mo
W31572,5Ery
W31573,5Ery
W31575,5Ery
W31576,5Ery
W31577,15Mo
W31578,1Ery
W31580,13Baso
W31581,10GMP
W31583,12Baso
W31586,4Ery
W31587,7MEP
W31588,15Mo
W31590,13Baso
W31591,13Baso
W31593,3Ery
W31594,3Ery
W31595,15Mo
W31596,16Neu
W31597,13Baso
W31598,2Ery
W31599,15Mo
W31600,17Neu
W31601,15Mo
W31602,13Baso
W31603,16Neu
W31604,6Ery
W31605,5Ery
W31606,15Mo
W31607,9GMP
W31608,13Baso
W31609,15Mo
W31611,13Baso
W31613,6Ery
W31614,7MEP
W31615,12Baso
W31617,15Mo
W31618,2Ery
W31620,13Baso
W31621,10GMP
W31622,14Mo
W31623,14Mo
W31624,14Mo
W31625,15Mo
W31626,5Ery
W31628,16Neu
W31629,5Ery
W31630,14Mo
W31631,13Baso
W31632,15Mo
W31634,2Ery
W31635,2Ery
W31636,2Ery
W31638,13Baso
W31639,13Baso
W31640,5Ery
W31641,5Ery
W31642,9GMP
W31644,14Mo
W31645,7MEP
W31646,14Mo
W31647,11DC
W31648,16Neu
W31649,2Ery
W31650,2Ery
W31651,10GMP
W31652,8Mk
W31653,2Ery
W31654,5Ery
W31655,13Baso
W31656,13Baso
W31657,12Baso
W31658,7MEP
W31659,7MEP
W31660,13Baso
W31661,6Ery
W31662,5Ery
W31663,16Neu
W31664,14Mo
W31665,13Baso
W31666,2Ery
W31667,14Mo
W31668,5Ery
W31669,7MEP
W31670,10GMP
W31674,14Mo
W31676,4Ery
W31678,14Mo
W31681,12Baso
W31682,9GMP
W31683,15Mo
W31684,17Neu
W31685,7MEP
W31686,16Neu
W31687,13Baso
W31689,3Ery
W31690,15Mo
W31691,3Ery
W31692,7MEP
W31693,8Mk
W31695,3Ery
W31696,13Baso
W31697,9GMP
W31698,3Ery
W31699,3Ery
W31700,2Ery
W31701,16Neu
W31702,14Mo
W31703,16Neu
W31704,6Ery
W31705,14Mo
W31706,5Ery
W31707,14Mo
W31708,14Mo
W31711,15Mo
W31712,13Baso
W31713,14Mo
W31714,13Baso
W31715,17Neu
W31716,14Mo
W31717,1Ery
W31718,2Ery
W31719,5Ery
W31720,6Ery
W31721,15Mo
W31722,10GMP
W31723,6Ery
W31724,10GMP
W31725,7MEP
W31726,14Mo
W31727,13Baso
W31728,2Ery
W31729,14Mo
W31730,14Mo
W31731,6Ery
W31732,13Baso
W31733,14Mo
W31734,14Mo
W31735,2Ery
W31736,6Ery
W31737,13Baso
W31738,10GMP
W31739,15Mo
W31740,16Neu
W31741,10GMP
W31742,1Ery
W31743,14Mo
W31744,12Baso
W31745,10GMP
W31746,12Baso
W31748,16Neu
W31749,10GMP
W31750,13Baso
W31751,16Neu
W31752,6Ery
W31755,5Ery
W31756,10GMP
W31758,13Baso
W31760,14Mo
W31761,5Ery
W31762,13Baso
W31764,13Baso
W31765,13Baso
W31767,13Baso
W31768,4Ery
W31771,12Baso
W31773,10GMP
W31774,11DC
W31775,1Ery
W31777,3Ery
W31778,6Ery
W31779,6Ery
W31780,2Ery
W31781,2Ery
W31782,13Baso
W31783,3Ery
W31785,15Mo
W31786,2Ery
W31787,10GMP
W31788,5Ery
W31789,13Baso
W31791,9GMP
W31792,9GMP
W31793,12Baso
W31794,17Neu
W31795,6Ery
W31796,7MEP
W31797,6Ery
W31798,14Mo
W31799,14Mo
W31801,13Baso
W31802,13Baso
W31803,2Ery
W31804,13Baso
W31805,7MEP
W31806,3Ery
W31807,13Baso
W31808,15Mo
W31809,13Baso
W31810,11DC
W31811,17Neu
W31812,13Baso
W31813,14Mo
W31814,2Ery
W31815,11DC
W31816,13Baso
W31817,13Baso
W31818,2Ery
W31819,2Ery
W31820,16Neu
W31821,14Mo
W31822,10GMP
W31823,16Neu
W31824,13Baso
W31825,10GMP
W31826,16Neu
W31827,2Ery
W31828,14Mo
W31829,12Baso
W31830,9GMP
W31831,2Ery
W31832,2Ery
W31834,2Ery
W31835,6Ery
W31836,13Baso
W31837,14Mo
W31838,2Ery
W31839,5Ery
W31840,16Neu
W31841,6Ery
W31842,13Baso
W31845,14Mo
W31846,5Ery
W31847,5Ery
W31849,2Ery
W31850,4Ery
W31851,2Ery
W31854,10GMP
W31855,5Ery
W31856,13Baso
W31857,13Baso
W31858,2Ery
W31859,12Baso
W31860,12Baso
W31861,15Mo
W31864,13Baso
W31865,13Baso
W31866,13Baso
W31868,13Baso
W31870,10GMP
W31871,14Mo
W31872,13Baso
W36865,7MEP
W36866,13Baso
W36867,9GMP
W36868,14Mo
W36869,1Ery
W36871,3Ery
W36873,13Baso
W36874,13Baso
W36875,15Mo
W36876,2Ery
W36877,13Baso
W36878,5Ery
W36879,14Mo
W36881,3Ery
W36882,6Ery
W36883,2Ery
W36885,15Mo
W36886,12Baso
W36887,7MEP
W36889,2Ery
W36890,8Mk
W36891,14Mo
W36892,14Mo
W36893,8Mk
W36894,5Ery
W36895,14Mo
W36897,2Ery
W36898,3Ery
W36899,9GMP
W36900,5Ery
W36901,3Ery
W36902,5Ery
W36903,14Mo
W36905,2Ery
W36906,2Ery
W36907,14Mo
W36908,16Neu
W36909,9GMP
W36910,16Neu
W36911,15Mo
W36912,10GMP
W36913,3Ery
W36914,14Mo
W36915,8Mk
W36916,14Mo
W36917,15Mo
W36918,16Neu
W36919,5Ery
W36920,14Mo
W36921,16Neu
W36922,4Ery
W36923,2Ery
W36924,13Baso
W36925,14Mo
W36926,13Baso
W36927,5Ery
W36928,13Baso
W36929,7MEP
W36930,15Mo
W36931,6Ery
W36932,16Neu
W36933,15Mo
W36934,12Baso
W36935,6Ery
W36936,13Baso
W36939,14Mo
W36940,16Neu
W36941,14Mo
W36942,14Mo
W36943,2Ery
W36944,6Ery
W36945,6Ery
W36946,13Baso
W36947,14Mo
W36948,16Neu
W36949,2Ery
W36950,2Ery
W36951,5Ery
W36952,2Ery
W36953,5Ery
W36954,1Ery
W36955,13Baso
W36956,14Mo
W36957,14Mo
W36958,16Neu
W36959,1Ery
W36960,6Ery
W36961,14Mo
W36962,14Mo
W36963,15Mo
W36964,13Baso
W36966,15Mo
W36967,1Ery
W36969,8Mk
W36970,15Mo
W36971,14Mo
W36972,10GMP
W36973,9GMP
W36974,4Ery
W36975,15Mo
W36976,4Ery
W36977,11DC
W36978,2Ery
W36979,14Mo
W36980,14Mo
W36981,8Mk
W36982,13Baso
W36983,6Ery
W36984,13Baso
W36985,4Ery
W36987,13Baso
W36990,15Mo
W36991,13Baso
W36992,4Ery
W36993,2Ery
W36994,16Neu
W36995,2Ery
W36996,5Ery
W36997,2Ery
W36998,5Ery
W36999,10GMP
W37000,13Baso
W37001,13Baso
W37003,8Mk
W37004,16Neu
W37005,13Baso
W37006,7MEP
W37008,4Ery
W37009,13Baso
W37010,6Ery
W37011,2Ery
W37012,14Mo
W37013,16Neu
W37014,2Ery
W37015,13Baso
W37016,14Mo
W37017,6Ery
W37018,2Ery
W37019,2Ery
W37020,2Ery
W37022,8Mk
W37023,2Ery
W37024,4Ery
W37025,14Mo
W37026,17Neu
W37027,5Ery
W37028,13Baso
W37029,7MEP
W37030,3Ery
W37031,5Ery
W37032,13Baso
W37034,8Mk
W37035,6Ery
W37036,5Ery
W37037,5Ery
W37038,11DC
W37039,5Ery
W37040,15Mo
W37041,2Ery
W37042,2Ery
W37043,15Mo
W37044,15Mo
W37045,13Baso
W37046,14Mo
W37047,14Mo
W37048,14Mo
W37049,5Ery
W37050,7MEP
W37051,3Ery
W37052,2Ery
W37053,7MEP
W37054,1Ery
W37055,14Mo
W37056,2Ery
W37057,15Mo
W37058,13Baso
W37059,4Ery
W37060,13Baso
W37061,6Ery
W37063,9GMP
W37065,3Ery
W37066,6Ery
W37067,1Ery
W37068,4Ery
W37069,13Baso
W37070,9GMP
W37072,7MEP
W37073,14Mo
W37074,13Baso
W37075,13Baso
W37077,10GMP
W37078,9GMP
W37079,5Ery
W37080,16Neu
W37081,14Mo
W37082,15Mo
W37083,2Ery
W37084,3Ery
W37085,13Baso
W37086,6Ery
W37087,4Ery
W37088,3Ery
W37089,16Neu
W37090,9GMP
W37091,9GMP
W37092,12Baso
W37093,7MEP
W37094,16Neu
W37095,6Ery
W37096,13Baso
W37097,17Neu
W37098,14Mo
W37099,3Ery
W37100,16Neu
W37101,13Baso
W37102,14Mo
W37103,3Ery
W37104,14Mo
W37105,16Neu
W37106,2Ery
W37107,18Eos
W37108,7MEP
W37109,7MEP
W37110,5Ery
W37111,16Neu
W37112,2Ery
W37113,5Ery
W37114,13Baso
W37115,6Ery
W37116,14Mo
W37117,12Baso
W37118,13Baso
W37119,5Ery
W37120,2Ery
W37121,2Ery
W37122,14Mo
W37123,16Neu
W37124,14Mo
W37125,1Ery
W37126,11DC
W37127,1Ery
W37128,13Baso
W37130,3Ery
W37131,5Ery
W37132,16Neu
W37133,16Neu
W37134,6Ery
W37135,1Ery
W37137,14Mo
W37138,16Neu
W37139,2Ery
W37140,10GMP
W37141,5Ery
W37142,14Mo
W37143,2Ery
W37144,6Ery
W37145,5Ery
W37146,1Ery
W37147,5Ery
W37148,15Mo
W37150,10GMP
W37151,2Ery
W37152,5Ery
W37153,7MEP
