"from","to","weight"
"Y_96","Y_102",1
"Y_94","Y_97",1
"Y_89","Y_101",1
"Y_84","Y_99",1
"Y_79","Y_82",1
"Y_78","Y_97",1
"Y_75","Y_77",1
"Y_74","Y_87",1
"Y_71","Y_92",1
"Y_71","Y_74",1
"Y_70","Y_83",1
"Y_67","Y_82",1
"Y_67","Y_68",1
"Y_66","Y_92",1
"Y_65","Y_95",1
"Y_65","Y_90",1
"Y_64","Y_69",1
"Y_62","Y_98",1
"Y_61","Y_87",1
"Y_58","Y_60",1
"Y_57","Y_83",1
"Y_56","Y_86",1
"Y_56","Y_60",1
"Y_55","Y_81",1
"Y_53","Y_63",1
"Y_52","Y_93",1
"Y_51","Y_103",1
"Y_51","Y_93",1
"Y_48","Y_76",1
"Y_47","Y_73",1
"Y_47","Y_53",1
"Y_46","Y_50",1
"Y_45","Y_64",1
"Y_45","Y_52",1
"Y_44","Y_89",1
"Y_43","Y_95",1
"Y_40","Y_101",1
"Y_38","Y_90",1
"Y_38","Y_80",1
"Y_37","Y_49",1
"Y_37","Y_41",1
"Y_35","Y_96",1
"Y_34","Y_88",1
"Y_34","Y_85",1
"Y_33","Y_72",1
"Y_33","Y_59",1
"Y_32","Y_68",1
"Y_31","Y_54",1
"Y_30","Y_91",1
"Y_30","Y_63",1
"Y_29","Y_58",1
"Y_28","Y_85",1
"Y_27","Y_88",1
"Y_27","Y_42",1
"Y_26","Y_55",1
"Y_26","Y_44",1
"Y_25","Y_99",1
"Y_25","Y_66",1
"Y_24","Y_75",1
"Y_24","Y_49",1
"Y_23","Y_94",1
"Y_23","Y_36",1
"Y_22","Y_81",1
"Y_22","Y_31",1
"Y_21","Y_35",1
"Y_20","Y_57",1
"Y_20","Y_32",1
"Y_19","Y_86",1
"Y_19","Y_46",1
"Y_18","Y_62",1
"Y_18","Y_48",1
"Y_17","Y_103",1
"Y_17","Y_70",1
"Y_16","Y_41",1
"Y_15","Y_29",1
"Y_14","Y_72",1
"Y_13","Y_69",1
"Y_13","Y_59",1
"Y_12","Y_43",1
"Y_12","Y_40",1
"Y_11","Y_91",1
"Y_11","Y_79",1
"Y_10","Y_76",1
"Y_10","Y_21",1
"Y_9","Y_39",1
"Y_9","Y_15",1
"Y_8","Y_100",1
"Y_8","Y_98",1
"Y_7","Y_80",1
"Y_7","Y_42",1
"Y_6","Y_36",1
"Y_6","Y_28",1
"Y_5","Y_77",1
"Y_5","Y_73",1
"Y_4","Y_84",1
"Y_4","Y_54",1
"Y_3","Y_102",1
"Y_3","Y_61",1
"Y_2","Y_39",1
"Y_2","Y_14",1
"Y_1","Y_100",1
"Y_1","Y_16",1
