"from","to","weight"
"Y_40","Y_44",1
"Y_35","Y_45",1
"Y_34","Y_43",1
"Y_33","Y_37",1
"Y_32","Y_33",1
"Y_30","Y_42",1
"Y_30","Y_41",1
"Y_29","Y_31",1
"Y_28","Y_43",1
"Y_28","Y_38",1
"Y_26","Y_38",1
"Y_26","Y_35",1
"Y_25","Y_36",1
"Y_24","Y_37",1
"Y_23","Y_44",1
"Y_22","Y_24",1
"Y_21","Y_39",1
"Y_20","Y_39",1
"Y_20","Y_32",1
"Y_19","Y_29",1
"Y_18","Y_27",1
"Y_18","Y_22",1
"Y_16","Y_40",1
"Y_12","Y_19",1
"Y_12","Y_15",1
"Y_11","Y_23",1
"Y_10","Y_45",1
"Y_10","Y_14",1
"Y_9","Y_21",1
"Y_9","Y_17",1
"Y_8","Y_13",1
"Y_7","Y_17",1
"Y_7","Y_13",1
"Y_6","Y_36",1
"Y_6","Y_16",1
"Y_5","Y_41",1
"Y_5","Y_14",1
"Y_4","Y_42",1
"Y_4","Y_15",1
"Y_3","Y_31",1
"Y_3","Y_27",1
"Y_2","Y_34",1
"Y_2","Y_11",1
"Y_1","Y_10",1
