cell_id,paul15_clusters,dpt_erythrocyte_pseudotime,dpt_monocyte_pseudotime,dpt_lineage_pseudotime
W31105,7MEP,0.30484533309936523,,0.30484533309936523
W31106,15Mo,,0.5659185647964478,0.5659185647964478
W31107,3Ery,0.8129644393920898,,0.8129644393920898
W31108,15Mo,,0.771557092666626,0.771557092666626
W31109,3Ery,0.7962555289268494,,0.7962555289268494
W31110,15Mo,,0.2923705577850342,0.2923705577850342
W31111,4Ery,0.5870463252067566,,0.5870463252067566
W31113,2Ery,0.4980456233024597,,0.4980456233024597
W31114,3Ery,0.5207701921463013,,0.5207701921463013
W31115,2Ery,0.7440808415412903,,0.7440808415412903
W31116,2Ery,0.525048553943634,,0.525048553943634
W31117,17Neu,,,
W31118,14Mo,,0.4080840051174164,0.4080840051174164
W31119,13Baso,,,
W31120,3Ery,0.6274412870407104,,0.6274412870407104
W31121,7MEP,0.2875458896160126,,0.2875458896160126
W31122,3Ery,0.6981614232063293,,0.6981614232063293
W31123,3Ery,0.6588115096092224,,0.6588115096092224
W31124,2Ery,0.7470723986625671,,0.7470723986625671
W31125,8Mk,0.8956527709960938,,0.8956527709960938
W31126,3Ery,0.5460972785949707,,0.5460972785949707
W31127,9GMP,,0.19401025772094727,0.19401025772094727
W31128,8Mk,0.2912828326225281,,0.2912828326225281
W31129,10GMP,0.0,0.0,0.0
W31130,15Mo,,0.5732126832008362,0.5732126832008362
W31131,16Neu,,,
W31132,4Ery,0.6366106271743774,,0.6366106271743774
W31133,13Baso,,,
W31134,17Neu,,,
W31136,3Ery,0.6998404264450073,,0.6998404264450073
W31137,2Ery,0.6775699853897095,,0.6775699853897095
W31138,3Ery,0.6971035003662109,,0.6971035003662109
W31139,5Ery,0.5519549250602722,,0.5519549250602722
W31140,3Ery,0.6471346616744995,,0.6471346616744995
W31141,13Baso,,,
W31142,1Ery,0.8952121734619141,,0.8952121734619141
W31143,3Ery,0.7929326295852661,,0.7929326295852661
W31144,6Ery,0.537612795829773,,0.537612795829773
W31145,15Mo,,0.6339631676673889,0.6339631676673889
W31146,3Ery,0.577426552772522,,0.577426552772522
W31147,3Ery,0.6588732004165649,,0.6588732004165649
W31148,14Mo,,0.5293028950691223,0.5293028950691223
W31150,12Baso,,,
W31151,3Ery,0.8288664817810059,,0.8288664817810059
W31152,14Mo,,0.7417516708374023,0.7417516708374023
W31153,6Ery,0.6068413853645325,,0.6068413853645325
W31154,4Ery,0.6223353743553162,,0.6223353743553162
W31155,7MEP,0.19696418941020966,,0.19696418941020966
W31156,2Ery,0.6626043319702148,,0.6626043319702148
W31157,13Baso,,,
W31158,14Mo,,0.5730553865432739,0.5730553865432739
W31159,6Ery,0.5418379306793213,,0.5418379306793213
W31160,18Eos,,,
W31161,4Ery,0.6597039699554443,,0.6597039699554443
W31162,3Ery,0.6259285807609558,,0.6259285807609558
W31163,3Ery,0.6404895782470703,,0.6404895782470703
W31164,14Mo,,0.7885013818740845,0.7885013818740845
W31165,2Ery,0.7720446586608887,,0.7720446586608887
W31166,13Baso,,,
W31167,2Ery,0.7719740867614746,,0.7719740867614746
W31168,13Baso,,,
W31169,13Baso,,,
W31170,14Mo,,0.9206103682518005,0.9206103682518005
W31171,7MEP,0.29626384377479553,,0.29626384377479553
W31172,7MEP,0.4120928645133972,,0.4120928645133972
W31173,7MEP,0.2845650017261505,,0.2845650017261505
W31174,10GMP,0.23875519633293152,0.7938169240951538,0.5162860602140427
W31175,12Baso,,,
W31176,6Ery,0.31692951917648315,,0.31692951917648315
W31177,5Ery,0.5423312783241272,,0.5423312783241272
W31178,5Ery,0.5502332448959351,,0.5502332448959351
W31179,14Mo,,0.6048862338066101,0.6048862338066101
W31180,4Ery,0.6094385981559753,,0.6094385981559753
W31181,16Neu,,,
W31182,16Neu,,,
W31183,3Ery,0.6816713809967041,,0.6816713809967041
W31184,2Ery,0.6507329344749451,,0.6507329344749451
W31185,6Ery,0.6075130105018616,,0.6075130105018616
W31186,13Baso,,,
W31187,13Baso,,,
W31188,10GMP,0.016929438337683678,0.13395899534225464,0.07544421683996916
W31189,14Mo,,0.5298909544944763,0.5298909544944763
