cell_id,paul15_clusters,dpt_erythrocyte_pseudotime,dpt_monocyte_pseudotime,dpt_lineage_pseudotime
W31105,7MEP,0.3632265031337738,,0.3632265031337738
W31106,15Mo,,0.7616174817085266,0.7616174817085266
W31107,3Ery,0.8798226714134216,,0.8798226714134216
W31108,15Mo,,0.6566999554634094,0.6566999554634094
W31109,3Ery,0.8799876570701599,,0.8799876570701599
W31110,15Mo,,0.4620380103588104,0.4620380103588104
W31111,4Ery,0.7539093494415283,,0.7539093494415283
W31113,2Ery,0.6213175058364868,,0.6213175058364868
W31114,3Ery,0.5998380780220032,,0.5998380780220032
W31115,2Ery,0.8999626040458679,,0.8999626040458679
W31116,2Ery,0.8237919807434082,,0.8237919807434082
W31117,17Neu,,,
W31118,14Mo,,0.4003482460975647,0.4003482460975647
W31119,13Baso,,,
W31120,3Ery,0.8409608006477356,,0.8409608006477356
W31121,7MEP,0.37555909156799316,,0.37555909156799316
W31122,3Ery,0.8358902335166931,,0.8358902335166931
W31123,3Ery,0.876768171787262,,0.876768171787262
W31124,2Ery,0.8741801977157593,,0.8741801977157593
W31125,8Mk,0.6693947315216064,,0.6693947315216064
W31126,3Ery,0.6275285482406616,,0.6275285482406616
W31127,9GMP,,0.07934669405221939,0.07934669405221939
W31128,8Mk,0.5036769509315491,,0.5036769509315491
W31129,10GMP,0.0,0.0,0.0
W31130,15Mo,,0.8156043887138367,0.8156043887138367
W31131,16Neu,,,
W31132,4Ery,0.770539402961731,,0.770539402961731
W31133,13Baso,,,
W31134,17Neu,,,
W31136,3Ery,0.8183318376541138,,0.8183318376541138
W31137,2Ery,0.8302231431007385,,0.8302231431007385
W31138,3Ery,0.7998600006103516,,0.7998600006103516
W31139,5Ery,0.6835852265357971,,0.6835852265357971
W31140,3Ery,0.7595350742340088,,0.7595350742340088
W31141,13Baso,,,
W31142,1Ery,0.9901605844497681,,0.9901605844497681
W31143,3Ery,0.9036088585853577,,0.9036088585853577
W31144,6Ery,0.6081029772758484,,0.6081029772758484
W31145,15Mo,,0.6725696325302124,0.6725696325302124
W31146,3Ery,0.6944029927253723,,0.6944029927253723
W31147,3Ery,0.8393613696098328,,0.8393613696098328
W31148,14Mo,,0.6502341032028198,0.6502341032028198
W31149,19Lymph,,,
W31150,12Baso,,,
W31151,3Ery,0.9021453261375427,,0.9021453261375427
W31152,14Mo,,0.8160967230796814,0.8160967230796814
W31153,6Ery,0.7413410544395447,,0.7413410544395447
W31154,4Ery,0.8032129406929016,,0.8032129406929016
W31155,7MEP,0.09370196610689163,,0.09370196610689163
W31156,2Ery,0.8461747169494629,,0.8461747169494629
W31157,13Baso,,,
W31158,14Mo,,0.5982916951179504,0.5982916951179504
W31159,6Ery,0.6219308972358704,,0.6219308972358704
W31160,18Eos,,,
W31161,4Ery,0.8172445893287659,,0.8172445893287659
W31162,3Ery,0.7624151110649109,,0.7624151110649109
W31163,3Ery,0.780866801738739,,0.780866801738739
W31164,14Mo,,0.8393815755844116,0.8393815755844116
W31165,2Ery,0.8744560480117798,,0.8744560480117798
W31166,13Baso,,,
W31167,2Ery,0.8640183210372925,,0.8640183210372925
W31168,13Baso,,,
W31169,13Baso,,,
W31170,14Mo,,0.8547549247741699,0.8547549247741699
W31171,7MEP,0.3625061810016632,,0.3625061810016632
W31172,7MEP,0.5718925595283508,,0.5718925595283508
W31173,7MEP,0.33430662751197815,,0.33430662751197815
W31174,10GMP,0.10272923111915588,0.17465171217918396,0.13869047164916992
W31175,12Baso,,,
W31176,6Ery,0.43829861283302307,,0.43829861283302307
W31177,5Ery,0.605276882648468,,0.605276882648468
W31178,5Ery,0.6323508024215698,,0.6323508024215698
W31179,14Mo,,0.5847296714782715,0.5847296714782715
W31180,4Ery,0.7739191651344299,,0.7739191651344299
W31181,16Neu,,,
W31182,16Neu,,,
W31183,3Ery,0.8094207644462585,,0.8094207644462585
W31184,2Ery,0.8248726725578308,,0.8248726725578308
W31185,6Ery,0.7441033720970154,,0.7441033720970154
W31186,13Baso,,,
W31187,13Baso,,,
W31188,10GMP,0.01490574236959219,0.05924170836806297,0.03707372536882758
W31189,14Mo,,0.5127971768379211,0.5127971768379211
W31190,5Ery,0.7429885864257812,,0.7429885864257812
W31191,7MEP,0.34342923760414124,,0.34342923760414124
W31192,7MEP,0.34211409091949463,,0.34211409091949463
W31193,5Ery,0.7633463740348816,,0.7633463740348816
W31194,6Ery,0.6168318390846252,,0.6168318390846252
W31195,2Ery,0.8895342946052551,,0.8895342946052551
