cell_id,paul15_clusters,dpt_pseudotime_finite
W31105,7MEP,0.23638854920864105
W31106,15Mo,0.11584457755088806
W31107,3Ery,0.5757412314414978
W31108,15Mo,0.12273965030908585
W31109,3Ery,0.6280854344367981
W31110,15Mo,0.09401530027389526
W31111,4Ery,0.5105081796646118
W31113,2Ery,0.46296074986457825
W31114,3Ery,0.4517289698123932
W31115,2Ery,0.6654959321022034
W31116,2Ery,0.6032419204711914
W31117,17Neu,0.15639469027519226
W31118,14Mo,0.036347970366477966
W31119,13Baso,0.04657856747508049
W31120,3Ery,0.5333449840545654
W31121,7MEP,0.26784223318099976
W31122,3Ery,0.5709117650985718
W31123,3Ery,0.685885488986969
W31124,2Ery,0.5748214721679688
W31125,8Mk,0.29350361227989197
W31126,3Ery,0.47436287999153137
W31127,9GMP,0.04829574003815651
W31128,8Mk,0.19842742383480072
W31129,10GMP,0.0
W31130,15Mo,0.1280270367860794
W31131,16Neu,0.21702957153320312
W31132,4Ery,0.5338117480278015
W31133,13Baso,0.06400448828935623
W31134,17Neu,0.13944068551063538
W31136,3Ery,0.5938378572463989
W31137,2Ery,0.585342526435852
W31138,3Ery,0.5871176719665527
W31139,5Ery,0.46746718883514404
W31140,3Ery,0.468886137008667
W31141,13Baso,0.0427962988615036
W31142,1Ery,0.7839670777320862
W31143,3Ery,0.6462106108665466
W31144,6Ery,0.4410576820373535
W31145,15Mo,0.19163630902767181
W31146,3Ery,0.47249963879585266
W31147,3Ery,0.5929062962532043
W31148,14Mo,0.11604854464530945
W31149,19Lymph,0.971396267414093
W31150,12Baso,0.08409513533115387
W31151,3Ery,0.6865003705024719
W31152,14Mo,0.07631530612707138
W31153,6Ery,0.5181379914283752
W31154,4Ery,0.5099683403968811
W31155,7MEP,0.24372656643390656
W31156,2Ery,0.6080983281135559
W31157,13Baso,0.05384376272559166
W31158,14Mo,0.11810340732336044
W31159,6Ery,0.4766227602958679
W31160,18Eos,0.3598741590976715
W31161,4Ery,0.5817884206771851
W31162,3Ery,0.5546054840087891
W31163,3Ery,0.5803269147872925
W31164,14Mo,0.11885497719049454
W31165,2Ery,0.6261289715766907
W31166,13Baso,0.08679228276014328
W31167,2Ery,0.6612979173660278
W31168,13Baso,0.14984135329723358
W31169,13Baso,0.11911526322364807
W31170,14Mo,0.13171087205410004
W31171,7MEP,0.2451649308204651
W31172,7MEP,0.40497785806655884
W31173,7MEP,0.2226298749446869
W31174,10GMP,0.03406831994652748
W31175,12Baso,0.09165607392787933
W31176,6Ery,0.3234860599040985
W31177,5Ery,0.43475982546806335
W31178,5Ery,0.502047061920166
W31179,14Mo,0.07006718218326569
W31180,4Ery,0.5767470002174377
W31181,16Neu,0.1730906218290329
W31182,16Neu,0.16515421867370605
W31183,3Ery,0.6097546815872192
W31184,2Ery,0.5839803218841553
W31185,6Ery,0.5672916769981384
W31186,13Baso,0.14764317870140076
W31187,13Baso,0.014798332005739212
W31188,10GMP,0.04207297042012215
W31189,14Mo,0.07128626108169556
W31190,5Ery,0.5182948708534241
W31191,7MEP,0.24935059249401093
W31192,7MEP,0.22581695020198822
W31193,5Ery,0.5266382098197937
W31194,6Ery,0.42907094955444336
W31195,2Ery,0.618900716304779
W31196,10GMP,0.23603998124599457
W31197,10GMP,0.018362846225500107
W31198,2Ery,0.623960018157959
W31199,7MEP,0.18712249398231506
W31200,6Ery,0.31908145546913147
W31201,7MEP,0.30802449584007263
W31202,14Mo,0.05719493702054024
W31203,16Neu,0.13738538324832916
W31204,10GMP,0.049928177148103714
W31205,3Ery,0.49632248282432556
W31206,3Ery,0.6499125361442566
W31207,13Baso,0.14044028520584106
W31209,1Ery,0.7494083046913147
W31210,14Mo,0.14925280213356018
W31211,15Mo,0.14660361409187317
W31212,2Ery,0.6223258972167969
W31213,5Ery,0.43069905042648315
W31214,2Ery,0.615057647228241
W31215,5Ery,0.42184334993362427
W31217,3Ery,0.6215587258338928
W31218,14Mo,0.08885496109724045
W31219,10GMP,0.05696758255362511
W31220,2Ery,0.6865594983100891
W31221,7MEP,0.28898224234580994
W31222,4Ery,0.6308442950248718
W31223,9GMP,0.11676639318466187
W31224,7MEP,0.22891908884048462
W31225,3Ery,0.5074710845947266
W31226,16Neu,0.1924373060464859
W31227,11DC,0.21187959611415863
W31228,10GMP,0.06324415653944016
W31229,6Ery,0.5138370990753174
W31230,3Ery,0.40343403816223145
W31231,2Ery,0.6338000893592834
W31232,5Ery,0.5580366253852844
W31233,2Ery,0.5400134921073914
W31234,2Ery,0.5919040441513062
W31236,5Ery,0.515999972820282
W31237,14Mo,0.12184202671051025
W31238,5Ery,0.5240314602851868
W31239,14Mo,0.11344414204359055
W31240,3Ery,0.4829545319080353
W31241,2Ery,0.6362154483795166
W31242,16Neu,0.1936158835887909
W31243,2Ery,0.7047587037086487
W31244,13Baso,0.059382278472185135
W31245,16Neu,0.11051882803440094
W31246,2Ery,0.6848219633102417
W31247,3Ery,0.652127742767334
W31248,3Ery,0.584494411945343
W31249,14Mo,0.10417234152555466
W31250,5Ery,0.5244912505149841
W31251,16Neu,0.21309347450733185
W31252,14Mo,0.10997424274682999
W31253,14Mo,0.07787500321865082
W31254,13Baso,0.11133167892694473
W31255,3Ery,0.6210905313491821
W31256,14Mo,0.1478169709444046
W31257,7MEP,0.2527035176753998
W31259,14Mo,0.038115065544843674
W31260,10GMP,0.05449412763118744
W31262,2Ery,0.4272456765174866
W31263,14Mo,0.02473253570497036
W31264,15Mo,0.16868112981319427
W31265,14Mo,0.07594110071659088
W31266,16Neu,0.19397811591625214
W31267,10GMP,0.10515653342008591
W31268,7MEP,0.21243812143802643
W31269,5Ery,0.44993680715560913
W31270,16Neu,0.12272016704082489
W31271,2Ery,0.5641680359840393
W31272,16Neu,0.17296108603477478
W31273,14Mo,0.13869653642177582
W31274,10GMP,0.030123500153422356
W31275,16Neu,0.16854359209537506
W31276,8Mk,0.22185790538787842
W31277,7MEP,0.2584366202354431
W31278,14Mo,0.12157696485519409
W31279,7MEP,0.24936403334140778
W31280,2Ery,0.5781509280204773
W31281,14Mo,0.07643520832061768
W31282,14Mo,0.1483025997877121
W31283,4Ery,0.5372272729873657
W31284,5Ery,0.4800581932067871
W31285,14Mo,0.07714937627315521
W31286,14Mo,0.14194229245185852
W31287,10GMP,0.22523216903209686
W31288,6Ery,0.25574347376823425
W31289,5Ery,0.48197123408317566
W31290,14Mo,0.13819171488285065
W31291,3Ery,0.6122896671295166
W31292,5Ery,0.4893132448196411
W31293,15Mo,0.12806876003742218
W31294,5Ery,0.5627151727676392
W31295,14Mo,0.07520722597837448
W31296,16Neu,0.15793302655220032
W31297,8Mk,0.21410025656223297
W31298,3Ery,0.5556511878967285
W31299,14Mo,0.15878978371620178
W31300,12Baso,0.19822843372821808
W31301,14Mo,0.0918039083480835
W31302,3Ery,0.5900212526321411
W31303,5Ery,0.38728612661361694
W31305,16Neu,0.15185870230197906
W31306,15Mo,0.16765549778938293
W31307,13Baso,0.12867169082164764
W31309,5Ery,0.4804915487766266
W31310,3Ery,0.6044166684150696
W31311,13Baso,0.02555486187338829
W31312,12Baso,0.14506490528583527
W31313,8Mk,0.20100684463977814
W31314,7MEP,0.18580064177513123
W31315,6Ery,0.42481034994125366
W31316,2Ery,0.6272323131561279
W31317,3Ery,0.6794497966766357
W31318,3Ery,0.5664612650871277
W31319,15Mo,0.1005549430847168
W31321,3Ery,0.4198608100414276
W31322,3Ery,0.5380051732063293
W31323,3Ery,0.558245062828064
W31324,8Mk,0.28083136677742004
W31325,2Ery,0.5423594117164612
W31326,2Ery,0.5555854439735413
W31327,14Mo,0.13796670734882355
W31328,3Ery,0.5335067510604858
W31329,15Mo,0.11003167927265167
W31330,14Mo,0.09741535782814026
W31331,7MEP,0.2996460795402527
W31332,15Mo,0.11440113931894302
W31333,3Ery,0.5400454998016357
W31334,3Ery,0.4943082630634308
W31335,13Baso,0.02532677724957466
W31336,15Mo,0.15522553026676178
W31337,3Ery,0.6067559123039246
W31338,15Mo,0.1239829957485199
W31339,13Baso,0.1260490119457245
W31340,3Ery,0.49553442001342773
W31341,15Mo,0.1484193503856659
W31342,15Mo,0.17449674010276794
W31343,13Baso,0.11086301505565643
W31344,19Lymph,0.7532544136047363
W31345,4Ery,0.49601972103118896
W31346,3Ery,0.5376582741737366
W31347,14Mo,0.07962259650230408
W31348,4Ery,0.5199586749076843
W31349,6Ery,0.3447548449039459
W31350,16Neu,0.20169652998447418
W31351,14Mo,0.07664738595485687
W31353,3Ery,0.6565568447113037
W31354,17Neu,0.28039541840553284
W31355,15Mo,0.08103105425834656
W31356,4Ery,0.5007224082946777
W31357,3Ery,0.5673906207084656
W31358,6Ery,0.3812228739261627
W31359,14Mo,0.13154539465904236
W31360,3Ery,0.5719963908195496
W31361,16Neu,0.13884618878364563
W31362,14Mo,0.1481107920408249
W31363,15Mo,0.07591777294874191
W31364,7MEP,0.2603083550930023
W31365,13Baso,0.031382109969854355
W31366,15Mo,0.08119883388280869
W31367,14Mo,0.16114678978919983
W31368,3Ery,0.5900517106056213
W31369,2Ery,0.5790430307388306
W31370,2Ery,0.6421191096305847
W31371,14Mo,0.05963266268372536
W31372,2Ery,0.6665334701538086
W31373,13Baso,0.08943686634302139
W31374,2Ery,0.6123544573783875
W31375,3Ery,0.4945705533027649
