metric,alpha_current,alpha_embedding,masked_stress,full_geodesic_stress,elapsed_s,n_samples,graph_neighbors,max_iter,inner_iter,n_global_landmarks,max_global_targets_per_source,n_local_neighbors,local_pair_mode
randers,0.8,0.0,38851.131757142764,1709825.995287187,45.171300584916025,2000,12,50,15,150,100,12,direct
randers,0.8,0.1,35425.59002819585,1502178.0852388474,34.379087737062946,2000,12,50,15,150,100,12,direct
randers,0.8,0.2,32430.2311459082,1359144.346449275,35.35553439101204,2000,12,50,15,150,100,12,direct
randers,0.8,0.3,29196.451226991707,1213684.5595499554,33.82478168094531,2000,12,50,15,150,100,12,direct
randers,0.8,0.4,27734.29977308805,1148930.6585506152,31.556489490903914,2000,12,50,15,150,100,12,direct
randers,0.8,0.5,26143.608138236727,1084251.0126921067,33.25295660481788,2000,12,50,15,150,100,12,direct
randers,0.8,0.6,25144.906467919758,1072191.9330387998,34.54094162886031,2000,12,50,15,150,100,12,direct
randers,0.8,0.7,24512.43462012549,1101304.6675635492,34.462506419979036,2000,12,50,15,150,100,12,direct
randers,0.8,0.8,24550.901539380444,1110625.3795895856,37.15642330306582,2000,12,50,15,150,100,12,direct
randers,0.8,0.9,25338.41485707636,1099012.784212427,40.47996599995531,2000,12,50,15,150,100,12,direct
randers,0.8,0.95,24196.273409500925,1144527.2004269578,38.684208965161815,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,0.0,39292.15394503855,1652210.1665767927,37.847144284052774,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,0.1,35499.301514246596,1487264.198903014,36.488401021109894,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,0.2,33035.93572439684,1353841.9672484037,41.38450153893791,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,0.3,29724.594983236373,1244144.059272535,35.30674991500564,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,0.4,28542.61714896879,1136795.8313346526,35.31973178801127,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,0.5,26216.347776061717,1146544.9862385548,39.82323641702533,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,0.6,25895.656811782595,1064306.1822836807,41.522705202922225,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,0.7,25876.376232260103,1038651.8638422847,43.37583664897829,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,0.8,25773.621052402814,1038867.3454799635,42.17840946116485,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,0.9,26373.088111342833,1043193.3210603477,42.25350253004581,2000,12,50,15,150,100,12,direct
convexified_matsumoto,0.8,1.0,26139.80987196128,1061343.2738433355,44.160056340973824,2000,12,50,15,150,100,12,direct
