file,a,b,label,masked_stress,full_geodesic_stress
sea_a0p8_pf_ctobl_ta7_tb0p04_best.npz,7.0,0.04,phase6_inner2,30008.317143395107,754821.3853453211
sea_a0p8_pf_ctobl_ta7_tb0p04_phase6_inner2.npz,7.0,0.04,phase6_inner2,30008.317143395107,754821.3853453211
sea_a0p8_pf_ctobl_ta7_tb0p04_phase5_inner4.npz,7.0,0.04,phase5_inner4,29685.94203904125,759783.0183976917
sea_a0p8_pf_ctobl_ta7_tb0p04_phase4_inner6.npz,7.0,0.04,phase4_inner6,29584.036071445495,775424.0034757874
sea_a0p8_pf_ctobl_ta7_tb0p04_phase3_inner8.npz,7.0,0.04,phase3_inner8,29328.110023919988,777493.0126960702
sea_a0p8_pf_ctobl_ta7_tb0p04_phase2_inner12.npz,7.0,0.04,phase2_inner12,29127.785052452527,797602.5139894714
sea_a0p8_pf_ctobl_ta7_tb0p04_bfine.npz,7.0,0.04,b_fine,29450.117493824644,850114.0619293988
sea_a0p8_pf_ctobl_ta7p2_tb0p04_afine.npz,7.2,0.04,a_fine,29899.213852043522,852731.3033871024
sea_a0p8_pf_ctobl_ta7_tb0p035_bfine.npz,7.0,0.035,b_fine,29180.50474047183,854161.4523719322
sea_a0p8_pf_ctobl_ta6p6_tb0p04_afine.npz,6.6,0.04,a_fine,29105.357623066666,854885.6935614155
sea_a0p8_pf_ctobl_ta7p6_tb0p04_afine.npz,7.6,0.04,a_fine,30677.434863386086,855043.4925654494
sea_a0p8_pf_ctobl_ta7p4_tb0p04_afine.npz,7.4,0.04,a_fine,30339.759549653587,857249.8112777924
sea_a0p8_pf_ctobl_ta7_tb0p045_bfine.npz,7.0,0.045,b_fine,31641.54637153385,859707.9074691425
sea_a0p8_pf_ctobl_ta7_tb0p04_asweep.npz,7.0,0.04,a_sweep,29851.838582021162,860280.1162362649
sea_a0p8_pf_ctobl_ta6p8_tb0p04_afine.npz,6.8,0.04,a_fine,29036.671840903113,863609.8790480788
sea_a0p8_pf_ctobl_ta6_tb0p05_best.npz,6.0,0.05,steep_check,25957.724691996642,870031.1796944643
sea_a0p8_pf_ctobl_ta6_tb0p05_steep_check.npz,6.0,0.05,steep_check,25957.724691996642,870031.1796944643
sea_a0p8_pf_ctobl_ta7_tb0p04_afine.npz,7.0,0.04,a_fine,29535.5845072116,876640.3522761764
sea_a0p8_pf_ctobl_ta6p5_tb0p04_asweep.npz,6.5,0.04,a_sweep,29482.692486890515,879773.3274490841
sea_a0p8_pf_ctobl_ta8_tb0p04_asweep.npz,8.0,0.04,a_sweep,32755.974577634886,881071.1224420044
sea_a0p8_pf_ctobl_ta6_tb0p04_bsweep.npz,6.0,0.04,b_sweep,29502.481433928988,883217.3522461603
sea_a0p8_pf_ctobl_ta6_tb0p05_bsweep.npz,6.0,0.05,b_sweep,30990.57875251242,883508.9211248987
sea_a0p8_pf_ctobl_ta6_tb0p05_long_refine.npz,6.0,0.05,a6_long_refine,42321.18529793648,885595.5370572922
sea_a0p8_pf_ctobl_ta5_tb0p05_steep_check.npz,5.0,0.05,steep_check,23725.647971586754,897078.8227302484
sea_a0p8_pf_ctobl_ta7_tb0p05_bfine.npz,7.0,0.05,b_fine,34405.40013005285,899298.4115865665
sea_a0p8_pf_ctobl_ta6_tb0p06_bsweep.npz,6.0,0.06,b_sweep,34967.813969394716,899509.9662797148
sea_a0p8_pf_ctobl_ta7_tb0p05_steep_check.npz,7.0,0.05,steep_check,28578.344205866557,900161.6108917653
sea_a0p8_pf_ctobl_ta7_tb0p04_phase1_inner40.npz,7.0,0.04,phase1_inner40,28662.472850521437,900855.1047767879
