label,file,a,b,masked_stress,full_geodesic_stress
original_a35,sea_a0p8_pf_ctobl_ta3p5_tb0p05.npz,3.5,0.05,36442.2213485001,
aborted_steeper_a5,sea_a0p8_pf_ctobl_ta5_tb0p05_steeper_a5_b005.npz,5.0,0.05,45514.58776266058,1035439.5332554273
short_a35,sea_a0p8_pf_ctobl_ta3p5_tb0p05_same_a35_b005_short.npz,3.5,0.05,28058.569974113943,1222469.6860220535
short_a2,sea_a0p8_pf_ctobl_ta2_tb0p05_softer_a2_b005_short.npz,2.0,0.05,34505.18659079512,1955469.3401781432
short_a15,sea_a0p8_pf_ctobl_ta1p5_tb0p05_soft_a15_b005_short.npz,1.5,0.05,38991.23661866797,2347164.059110063
short_a35_b015,sea_a0p8_pf_ctobl_ta3p5_tb0p15_biased_a35_b015_short.npz,3.5,0.15,38125.197006029426,1543946.8123380737
short_a35_more_local,sea_a0p8_pf_ctobl_ta3p5_tb0p05_more_local_a35_b005_short.npz,3.5,0.05,25852.469160812754,1496649.8872602624
long_a35,sea_a0p8_pf_ctobl_ta3p5_tb0p05_long_refine.npz,3.5,0.05,48388.396343675064,1180185.5731262246
short_a6,sea_a0p8_pf_ctobl_ta6_tb0p05_steep_check.npz,6.0,0.05,25957.724691996642,870031.1796944643
short_a7,sea_a0p8_pf_ctobl_ta7_tb0p05_steep_check.npz,7.0,0.05,28578.344205866557,900161.6108917653
short_a5_from_long,sea_a0p8_pf_ctobl_ta5_tb0p05_steep_check.npz,5.0,0.05,23725.647971586754,897078.8227302484
long_a5,sea_a0p8_pf_ctobl_ta5_tb0p05_long_refine.npz,5.0,0.05,42638.164186398775,995401.3887962514
long_a6,sea_a0p8_pf_ctobl_ta6_tb0p05_long_refine.npz,6.0,0.05,42321.18529793648,885595.5370572922
